CREATION_DATE,REGNO,FLT_NUM,STNFR,STNTO,AHRS,ACYC,N1EGTA,N1GLA,N1WB,N1PT,N1P2A,N1LCOT,N1LCIT,N1IGV,N1SCV,N1LOT,N1HOT,V1STA,V1EGTP,V1NPA,V1LOT,V1LCIT
2023-01-09 13:59,HL7554,KE0792,FUK,ICN,22721,15613,529,50,824,55,14.2,176,20,17,62,108,86,45,608,46,51,16
2023-01-09 16:49,HL7709,KE0671,ICN,KUL,49411,38085,510,83,829,57.7,14,169,6,17,64,115,90,49,600,42,81,23
2023-01-09 19:54,HL7553,KE1310,CJU,GMP,38767,30423,518,44,823,54.2,14,177,21,17,60,106,86,46,574,48,53,18
2023-01-09 20:01,HL7540,KE2104,HND,GMP,46669,34026,546,71,826,54.1,13.9,170,15,17,63,117,97,44,624,44,29,8
2023-01-10 1:14,HL7720,KE0668,CNX,ICN,48595,36180,541,50,823,51.8,13.3,182,22,17,66,114,95,46,626,37,16,9
2023-01-10 1:35,HL7586,KE0476,SGN,ICN,23258,15415,560,51,816,52.8,13.9,188,33,18,58,115,96,47,697,45,19,13
2023-01-10 2:05,HL7524,KE0630,DPS,ICN,46919,35993,546,50,813,52,13.9,191,37,18,64,117,97,51,633,46,19,21
2023-01-10 2:35,HL7585,KE0690,PNH,ICN,36889,27311,540,48,828,52.2,13.9,184,13,17,63,114,93,46,698,46,71,14
2023-01-10 10:46,HL7553,KE1174,CJU,GMP,38778,30427,518,43,824,54.2,14,179,21,17,60,107,86,46,571,48,56,18
2023-01-10 12:29,HL7540,KE2102,HND,GMP,46675,34029,536,63,829,54.8,14,166,10,17,63,113,93,45,621,44,29,9
2023-01-10 13:21,HL7554,KE0186,TPE,ICN,22728,15620,558,73,820,53.3,14,180,26,17,62,115,92,46,638,45,29,17
2023-01-10 13:38,HL7587,KE0622,MNL,ICN,38624,30600,592,66,818,51.9,13.8,188,29,18,64,118,97,47,655,45,29,17
2023-01-10 17:40,HL7709,KE0458,DAD,ICN,49417,38089,545,66,820,54.1,13.9,187,26,18,64,120,95,51,626,37,8,17
2023-01-10 19:42,HL7553,KE1310,CJU,GMP,38783,30431,521,43,822,54,14,180,23,17,60,107,86,47,580,48,57,21
2023-01-11 0:52,HL7710,KE0672,KUL,ICN,52651,40209,563,52,816,47,12.1,195,31,18,63,116,97,51,642,43,14,19
2023-01-11 2:17,HL7586,KE0476,SGN,ICN,23269,15420,560,48,816,53,13.9,187,34,18,58,114,96,47,680,45,26,16
2023-01-11 3:01,HL7585,KE0690,PNH,ICN,36896,27317,535,47,825,52.2,13.9,183,13,17,62,112,91,46,701,46,75,14
2023-01-11 10:48,HL7553,KE1174,CJU,GMP,38793,30435,525,43,819,53.8,14,182,26,17,60,109,88,48,592,47,57,23
2023-01-11 12:31,HL7540,KE2102,HND,GMP,46688,34034,526,53,829,55.1,14.1,166,10,17,63,113,93,44,601,45,36,7
2023-01-11 13:14,HL7587,KE0132,CGO,ICN,38630,30604,520,36,831,55.2,13.6,167,6,17,64,107,89,43,595,47,31,5
2023-01-11 13:24,HL7554,KE0186,TPE,ICN,22735,15627,540,43,819,53.6,14.1,181,25,17,62,111,90,45,625,45,30,14
2023-01-11 13:47,HL7709,KE0622,MNL,ICN,49422,38093,559,63,816,53.1,13.8,192,31,18,64,125,100,50,614,46,21,18
2023-01-11 15:11,HL7524,KE0888,XMN,ICN,46925,35999,511,34,819,52.5,13.6,183,27,18,63,105,85,48,592,48,28,15
2023-01-11 17:44,HL7586,KE0629,ICN,DPS,23275,15424,516,61,829,57.3,14.1,167,12,17,58,106,88,44,610,46,40,9
2023-01-11 18:44,HL7710,KE0475,ICN,SGN,52656,40213,508,63,830,57,14,169,7,17,59,111,91,46,567,46,24,5
2023-01-11 19:50,HL7553,KE1310,CJU,GMP,38798,30439,518,40,823,53.9,13.9,179,22,17,60,107,86,48,585,47,58,22
2023-01-12 7:59,HL7587,KE0621,ICN,MNL,38636,30607,529,60,831,57.4,13.9,164,3,16,64,109,90,43,604,46,23,2
2023-01-12 10:05,HL7701,KE0703,ICN,NRT,32705,27850,532,74,831,56.4,13.9,165,4,17,51,107,86,44,623,45,25,6
2023-01-12 10:45,HL7553,KE1174,CJU,GMP,38805,30442,532,42,817,53.5,13.9,185,28,18,60,108,87,47,585,48,55,24
2023-01-12 12:24,HL7540,KE2102,HND,GMP,46699,34039,527,43,826,54.6,14.1,168,13,17,63,112,93,45,608,45,33,8
2023-01-12 13:40,HL7709,KE0132,CGO,ICN,49429,38098,495,41,829,56,13.6,169,7,17,64,111,88,47,553,38,24,7
2023-01-12 13:46,HL7710,KE0742,NGO,ICN,52662,40217,519,52,827,55.7,14,177,15,17,59,111,92,46,570,46,35,12
2023-01-12 13:49,HL7585,KE0198,UBN,ICN,36906,27323,488,71,830,50.2,11.7,146,4,16,64,105,85,45,556,32,18,5
2023-01-12 17:51,HL7586,KE0458,DAD,ICN,23281,15427,558,61,816,53.3,13.9,185,30,18,58,114,95,47,690,45,23,13
2023-01-12 19:52,HL7553,KE1310,CJU,GMP,38810,30446,531,43,816,52.7,13.9,184,29,18,60,108,87,48,595,47,61,25
2023-01-13 0:37,HL7524,KE0634,DPS,ICN,46934,36004,548,49,812,52,13.8,191,37,18,64,116,97,51,639,45,11,19
2023-01-13 0:39,HL7554,KE0664,HKT,ICN,22745,15636,564,47,816,52.4,14.1,188,35,18,62,119,99,55,687,47,89,43
2023-01-13 1:28,HL7584,KE0476,SGN,ICN,45587,36147,567,45,817,51.7,13.9,184,28,18,63,115,96,47,714,43,7,13
2023-01-13 9:07,HL7709,KE0185,ICN,TPE,49435,38102,512,60,828,55.8,13.8,174,11,17,63,109,84,49,618,41,75,27
2023-01-13 10:17,HL7585,KE0703,ICN,NRT,36912,27327,512,69,828,55,13.9,168,13,17,63,110,89,47,594,46,19,14
2023-01-13 11:17,HL7710,KE0457,ICN,DAD,52668,40220,526,63,827,55,13.8,174,12,17,59,112,91,46,597,45,13,4
2023-01-13 11:21,HL7553,KE1174,CJU,GMP,38817,30449,537,41,818,52.1,13.8,183,29,18,60,108,87,49,595,47,52,24
2023-01-13 12:32,HL7540,KE2102,HND,GMP,46710,34044,547,71,827,55,14.1,168,13,17,64,118,97,47,608,45,42,15
2023-01-13 13:56,HL7586,KE0828,SZX,ICN,23287,15431,550,43,820,53.5,13.9,183,25,17,58,109,91,47,672,45,27,15
2023-01-13 19:18,HL7554,KE0689,ICN,PNH,22752,15640,531,71,827,55.5,14.1,169,13,17,62,109,86,43,602,45,31,8
2023-01-14 1:02,HL7720,KE0672,KUL,ICN,48609,36193,551,46,818,52,13.6,189,28,18,66,117,99,48,638,46,19,16
2023-01-14 1:34,HL7585,KE0476,SGN,ICN,36917,27330,541,47,828,51.8,13.9,186,13,17,63,115,94,47,663,45,22,14
2023-01-14 10:47,HL7553,KE1174,CJU,GMP,38831,30457,524,39,821,53.2,13.8,177,24,17,60,107,86,47,583,48,60,23
2023-01-14 12:26,HL7540,KE2102,HND,GMP,46719,34049,542,68,829,54.2,13.9,168,12,17,64,114,94,45,610,45,36,10
2023-01-14 13:23,HL7586,KE0186,TPE,ICN,23294,15436,581,78,816,53,13.8,187,32,18,58,117,98,46,667,46,29,15
2023-01-14 13:58,HL7584,KE0742,NGO,ICN,45596,36153,535,52,829,53.4,13.8,171,13,17,63,111,92,47,639,46,44,16
2023-01-14 16:50,HL7585,KE0671,ICN,KUL,36922,27334,511,72,830,55.6,13.9,167,13,17,63,110,88,47,634,40,76,14
2023-01-15 1:48,HL7701,KE0462,DAD,ICN,32724,27866,564,50,821,52.1,13.8,183,24,17,51,115,96,47,675,44,31,19
2023-01-15 10:42,HL7553,KE1174,CJU,GMP,38845,30465,513,40,824,54.3,13.9,173,19,17,60,105,84,46,568,41,56,19
2023-01-15 12:25,HL7540,KE2102,HND,GMP,46730,34054,558,78,826,55,13.9,170,14,17,64,120,99,44,607,45,37,7
2023-01-15 13:42,HL7585,KE0198,UBN,ICN,36927,27337,487,76,830,51.7,11.7,140,4,16,64,106,85,47,573,32,11,5
2023-01-15 14:56,HL7709,KE0828,SZX,ICN,49450,38112,519,42,824,55.2,13.9,182,21,17,64,112,88,49,593,39,19,15
2023-01-15 15:50,HL7554,KE0138,WUH,ICN,22761,15648,499,38,831,58.1,14.3,162,5,17,62,106,85,42,583,30,23,0
2023-01-15 17:54,HL7587,KE0458,DAD,ICN,38665,30626,597,74,816,51.9,13.8,188,29,18,64,121,99,47,668,46,27,18
2023-01-16 1:40,HL7720,KE0668,CNX,ICN,48620,36202,534,50,824,51.5,13.1,180,20,17,66,111,92,46,642,37,13,8
2023-01-16 2:18,HL7584,KE0630,DPS,ICN,45603,36159,580,55,818,50.9,13.8,187,30,18,64,118,99,47,718,43,2,13
2023-01-16 2:36,HL7586,KE0626,MNL,ICN,23305,15442,557,47,816,52.7,13.9,186,33,18,58,114,96,47,684,45,24,16
2023-01-16 10:44,HL7553,KE1174,CJU,GMP,38855,30472,508,44,827,55,13.9,172,14,17,60,104,83,46,569,49,51,16
2023-01-16 13:24,HL7720,KE0186,TPE,ICN,48625,36204,524,58,830,54.8,13.8,173,11,17,66,109,92,44,581,47,30,5
2023-01-16 13:39,HL7585,KE0742,NGO,ICN,36935,27342,507,47,828,54.2,13.9,172,13,17,63,109,88,45,586,47,43,14
2023-01-16 14:06,HL7710,KE0704,NRT,ICN,52687,40234,521,72,828,55.3,13.6,174,6,17,60,112,91,46,578,47,29,9
2023-01-16 14:24,HL7587,KE0622,MNL,ICN,38671,30629,597,62,818,51.4,13.8,190,31,18,64,120,99,47,663,45,28,18
