Date,Aircraft,Flight,Departure,Arrival,APU_Oil_Temperature_Max,Load_Compressor_Inlet_Temperature,,,Compensated,,,Ulaanbaatar_temp,Incheon_temp,Dubai_temp,Danang_temp
2025-07-12 5:30,HL7586,KAL1348,RKPC,RKSS,96,33,,,,,,,,,
2025-07-12 4:55,HL8003,KAL198,ZMCK,RKSI,110,43,,,,,,,,,
2025-07-12 4:47,HL8025,KAL951,RKSI,OMDB,103,32,,,94.6,,,,,,
2025-07-12 4:41,HL8027,KAL812,ZLXY,RKSI,105,41,,,,,,,,,
2025-07-12 4:08,HL7702,KAL869,RKSI,ZYTL,103,36,,,89.8,,,,,,
2025-07-12 2:36,HL7709,KAL1188,RKPC,RKSS,95,29,,,,,,,,,
2025-07-12 1:44,HL7553,KAL846,ZSQD,RKSI,100,41,,,,,,,,,
2025-07-12 1:31,HL7584,KAL1174,RKPC,RKSS,96,29,,,,,,,,,
2025-07-12 0:12,HL8027,KAL811,RKSI,ZLXY,99,35,,,87,,,,,,
2025-07-11 23:35,HL7710,KAL648,WSSS,RKSI,97,34,,,,,,,,,
2025-07-11 23:34,HL8003,KAL197,RKSI,ZMCK,106,40,,,88,,,,,,
2025-07-11 22:40,HL8026,KAL408,YBBN,RKSI,89,22,,,,,,,,,
2025-07-11 17:01,HL7585,KAL720,RJTT,RKSI,87,22,,,,,,,,,
2025-07-11 16:57,HL8025,KAL952,OMDB,RKSI,111,39,,,,,,,,,
2025-07-11 16:38,HL7554,KAL690,VDPP,RKSI,103,41,,,,,,,,,
2025-07-11 16:37,HL7720,KAL634,WADD,RKSI,103,29,,,,,,,,,
2025-07-11 14:51,HL8003,KAL658,VTBS,RKSI,109,45,,,,,,,,,
2025-07-11 13:46,HL8027,KAL696,VNKT,RKSI,98,34,,,,,,,,,
2025-07-11 11:16,HL8026,KAL407,RKSI,YBBN,107,40,,,89,,,,,,
2025-07-11 9:38,HL8002,KAL726,RJBB,RKSI,106,40,,,,,,,,,
2025-07-11 9:29,HL7586,KAL1350,RKPC,RKSS,97,33,,,,,,,,,
